ppt,nLL,AIC,category_mean_bias,category_variance_bias,domain_variance_bias,determinism
0,11.508653548632676,31.017307097265352,0.296904047869946,1.3717541864529292,0.0010000000000506227,33.58817365870059
1,18.27680874766841,44.55361749533682,15203537.868888993,596762768798.268,62008518.55198117,1.509383871416363e+23
2,21.699057749859577,51.398115499719154,102821198145931.94,1.0602241890678081,0.06318049455673247,2.8656443019297346
3,2.882111039739049,13.764222079478099,6.9520334444533725e+22,1.0623092503332155e+17,0.0010008999365505903,8.483300834749457e+17
4,-0.0,8.0,0.12404254756662618,6.201624349735526,0.0036454593093631195,223.83872971153065
5,-0.0,8.0,0.21153757687165653,4.703079188083779,0.011349930953410366,69.47347543425731
6,9.820902749977954,27.641805499955908,1512955121114421.0,1958217360936519.0,4.325828510346005,1.0500960422419355e+17
7,6.065094555140789,20.130189110281577,1.0000147672573671e-10,1.0000000001,0.001000000000000001,3.350699823888951
8,18.98015358018479,45.96030716036958,53945525086231.39,166476630630687.6,37.41389847870622,1.3601692264413027e+17
9,16.330450243344686,40.66090048668937,1.1165366626412448e+17,5.802959183130976e+36,0.003526470098329569,1.9078935248198056e+16
10,14.79100630891433,37.58201261782866,13.768591259097406,1.000000000100001,0.001,6.301506590329497
11,12.76920593226168,33.53841186452336,5.529304813656291e-06,6.86028124815572e+18,50582033984408.945,5.640462511905463e+28
12,-0.0,8.0,0.25897415470127577,4.409250886284918,0.016511119405703073,48.006438970196385
13,16.003725885988295,40.00745177197659,3.951723582952167e+26,1.0000000001000033,1.1638603617860965,52.46188232041057
14,4.602132879992034,17.204265759984068,1109250573.782752,3148952144.238004,0.001,30066953130.708843
15,19.270240673796067,46.540481347592134,33984646.9071875,7.49093471442832e+30,28581557.913084585,9.44737346375636e+22
16,2.381488109069176,12.762976218138352,3.1524290796874508e+34,570684133627.0225,0.01018985431263325,5268724666113.89
17,-0.0,8.0,0.12404254756662618,6.201624349735526,0.0036454593093631195,223.83872971153065
18,5.207375114518545,18.41475022903709,7642323273218.749,1.0000000001,0.001,36.99239273919354
19,2.249340578704664,12.498681157409328,220.19835511666125,1.0000000001,1.656726917738493,662.8239840063801
20,16.500537630661743,41.001075261323486,1503312446305337.8,283078018253084.1,6.850835218491043,1.0782789815073747e+17
21,13.865384983264459,35.73076996652892,3497.924889202202,1.897872745854266e+22,1533650979083.0127,2.283561865140561e+28
22,9.173119620009091,26.346239240018182,0.009997371379835267,836.5829560651098,91215182650619.39,1.6935492542343912e+29
23,2.2493405784752367,12.498681156950473,2.7176485283850553,484.2084820500462,7.938463884139204,167308.5905079071
24,21.14162583358447,50.28325166716894,2201976439303622.5,4.95188473096134e+100,20.150420522714246,1.390835321439621e+17
25,12.227312759367951,32.4546255187359,1e-10,1.0000000001000031,0.001,1.874207289226064
26,6.028797807975731,20.057595615951463,21431201642275.086,29893016870298.094,0.001000240644494041,151872818680604.3
27,5.886440334415276,19.772880668830553,5.74668528021368e+22,8154779409366175.0,0.001,1.2429642354507812e+16
28,-0.0,8.0,0.12404254756662618,6.201624349735526,0.0036454593093631195,223.83872971153065
29,16.706811015146904,41.41362203029381,9.033710060775881,1.0000000001000007,0.22626239623832656,10.502617368906641
30,6.542825059921954,21.08565011984391,1.3527033084484217,48.32813807595331,0.0010000000000007113,8.395197977690817
