ppt,nLL,AIC,specificity,theta_cntrst,theta_target
0,7.481333078606694,20.962666157213388,76.37957205375507,2.708050190101354,1.0499840234310247e-11
1,21.72937147304355,49.4587429460871,2.2995347805223675e-08,42240.60821720726,6831426.737972323
2,19.012160727194825,44.02432145438965,152.79046221935272,0.9382696384003146,9.05491217444158e-29
3,4.449945550551711,14.899891101103423,1600.7050682074812,1.139610672455809e-06,3.433986055396838
4,-0.0,6.0,1.169833688210094,3.5325238682263485,14.391633926941704
5,-0.0,6.0,0.19964383991510337,6.366638684673666,110.59199999999986
6,11.492876840486751,28.985753680973502,8.333540999063121e-08,4622897.654382821,2.4382556410531056e-14
7,6.799891061530229,19.599782123060457,22.62682059342483,1.5522538176845264,0.48723666071476396
8,19.99989063546165,45.9997812709233,3.5372282182176633,0.10002126779811536,0.5234937435944276
9,22.141731450157373,50.283462900314746,4.1394978668749844e-08,3.443525932151299e-07,628080.8393526275
10,16.810282224499034,39.62056444899807,168.7394165317252,1.2729655810392249,1.0940421059181104e-07
11,12.604712318767469,31.209424637534937,13.997956972528304,4.060078592037856e-70,1.1638972599292317
12,-0.0,6.0,0.7236799822697765,4.401458504439762,46.670347176023576
13,15.44248208566438,36.88496417132876,304.15343084751515,1.4663370673861889,1.1473527213652277e-62
14,7.246512458648848,20.493024917297696,5.206376396214116e-07,5.258585618600885e-15,1569151.056725197
15,21.751869673925285,49.50373934785057,3.109342457243887e-08,4.253148023161406,8766701.595586255
16,4.449945550551712,14.899891101103425,585.3075220830891,3.4339872060280388,2.057844304208804e-09
17,-0.0,6.0,0.38566393337871385,3.175124234854985,35.34695423041135
18,7.481333078606694,20.962666157213388,3073.862755776554,2.708050225187759,1.5991920168551425e-21
19,3.576858940161859,13.153717880323718,42.949033399655924,2.0157046973988626e-08,2.512400472332408
20,20.95617540310213,47.91235080620426,5.847466619714996e-08,0.0034370605946243025,4903326.842979891
21,20.591729696617286,47.18345939323457,146.20321671128585,4.344357906935988e-09,0.6466271526195354
22,9.956132953979168,25.912265907958336,295.6327568720154,2.2686835574599704,2.3103878424174877e-20
23,3.302363789098279,12.604727578196558,4.56103701604968e-08,27246834.702299878,2.3036451373254405e-30
24,22.180709777918246,50.36141955583649,21116.19780758438,8.205195852675109e-30,1.9341124559181496e-16
25,13.214736245998456,32.42947249199691,2.972488187119442,0.021944228646110026,0.9034525925532428
26,7.481333078606696,20.96266615721339,516.2184503751755,0.0073567966036111685,2.7006933770051647
27,11.445679416483724,28.891358832967448,7.620027295492131e-08,1.0151797486687973e-60,19612584.05212466
28,-0.0,6.0,0.16196595999648183,5.513791794505335,134.39659350346622
29,12.056645160205974,30.11329032041195,189.06466366651486,1.9459101101273462,6.979178430731255e-39
30,7.114193685436394,20.228387370872788,15.944253714757544,2.247832759167453,1.3618092018372427e-89
31,4.01111310934776,14.02222621869552,19.405823469767277,0.44891334230982655,2.3904063156349173
32,9.193321281666993,24.386642563333986,4.6346581699062055,7.137433798081651e-08,1.1406725481838809
33,13.868763945303858,33.737527890607716,147.5873835989255,1.686398963266722,1.6505922282112266e-35
34,3.3886023029965293,12.77720460599306,2.3415166434802797,2.07910809445347,1.3162649542443275e-08
35,7.481333078606692,20.962666157213384,302.9499682698048,2.7080501741571443,1.849556015384169e-08
36,22.085489062295455,50.17097812459091,15.99893840340803,3.85576482167988e-15,0.17034759742525735
