ppt,nLL,AIC,category_mean_bias,category_variance_bias,domain_variance_bias,determinism
0,11.508653548632676,31.017307097265352,0.296904047869946,1.3717541864529292,0.0010000000000506227,33.58817365870059
1,18.27680874766841,44.55361749533682,15203537.868888993,596762768798.268,62008518.55198117,1.509383871416363e+23
2,21.699057749859577,51.398115499719154,102821198145931.94,1.0602241890678081,0.06318049455673247,2.8656443019297346
3,3.751492685898048,15.502985371796097,4.415278518728375e+16,3208431570564962.5,0.0010000028751889144,2.6320275259680916e+16
4,-0.0,8.0,0.05754171781733864,1.5719656352395845,0.014268212406887065,189.74989621153762
5,-0.0,8.0,0.5878629329877967,1.0729701600828883,0.019733161896875445,138.00826600696982
6,10.741977733967772,29.483955467935544,9.040115780797185e-08,1.5492537167720643e+19,482773914137203.6,1.1135153413124283e+29
7,6.065755337190321,20.131510674380642,1.0000416356494171e-10,1.0000000001,0.001000000000000033,3.351479739817475
8,18.98015358018479,45.96030716036958,53945525086231.39,166476630630687.6,37.41389847870622,1.3601692264413027e+17
9,16.330450243344686,40.66090048668937,1.1165366626412448e+17,5.802959183130976e+36,0.003526470098329569,1.9078935248198056e+16
10,14.78933779546361,37.57867559092722,13.767127925230797,1.0000000001,0.0010000000000001527,6.303182589071251
11,13.045290740648294,34.09058148129659,14.425199988929169,1.0000000001,17.852277529128568,128.72539734556227
12,-0.0,8.0,0.25897415470127577,4.409250886284918,0.016511119405703073,48.006438970196385
13,16.003725885988295,40.00745177197659,2.5046985625848376e+16,1.0000000001000038,1.1638603463731514,52.461882664592224
14,4.60289473616543,17.20578947233086,866578945835.9545,2418964901509.4624,0.0010000006813186675,23692649295616.816
15,18.655148251108805,45.31029650221761,730642069795773.2,4.501730583676258e+16,6.012357034732956,1.113242282553701e+17
16,2.394168898507214,12.788337797014428,2660415807604215.5,243.62290064743266,0.001,2177.3078348460995
17,-0.0,8.0,0.04139315758319216,3.4436132432896733,0.04660111083462081,179.23160490222057
18,5.2076459516502736,18.41529190330055,4451218120149.041,1.0000000001,0.001,36.985865091050044
19,2.254563248591597,12.509126497183194,3.9654471817757375e+33,1.0000000001000038,0.0010000000000011083,84.60004211554887
20,16.500537630661743,41.001075261323486,1503312446305337.8,283078018253084.1,6.850835218491043,1.0782789815073747e+17
21,13.865384983264459,35.73076996652892,3497.924889202202,1.897872745854266e+22,1533650979083.0127,2.283561865140561e+28
22,9.173119620009091,26.346239240018182,0.009997371379835267,836.5829560651098,91215182650619.39,1.6935492542343912e+29
23,2.2493405784753766,12.498681156950752,5.052837314458123,6.034008230034083,0.010698315061956582,778.5138152606761
24,21.647935864225673,51.295871728451345,1.1953046473264344e+16,3.144867620130193e+17,6.399976165030862,2.3570579220771732e+16
25,12.228039420175536,32.45607884035107,1e-10,1.0000000001,0.0010000000000003817,1.874286658585666
26,6.028725633581232,20.057451267162463,215759304001.37466,302561744599.6338,0.001,1567271535457.892
27,6.093958025814633,20.187916051629266,3.2006286823207665e+18,2152550088593290.8,0.03824722355469063,3774869900354914.5
28,-0.0,8.0,0.05754171781733864,1.5719656352395845,0.014268212406887065,189.74989621153762
29,16.784115764806874,41.56823152961375,9.941697554405085,1.0000000001000011,0.001,8.402289659822005
30,6.363038929324411,20.72607785864882,1.7846793240429546,1.0000000001000098,0.7579670029677599,9.929384049557918
