ppt,nLL,AIC,category_mean_bias,category_variance_bias,domain_variance_bias,determinism
0,7.481333078629212,22.962666157258425,1.6884165573212398e+49,1.6934682427215613,0.001,3.764922609944043
1,18.321470593517788,44.642941187035575,1.0000000882360538e-10,22.39043729443336,113596883375841.47,93978445899671.16
2,18.43827797860485,44.8765559572097,3.4793227529962825e+37,1.0000000001,0.001000000000000344,0.8061779031525509
3,4.373002184748922,16.746004369497847,1.0000024407987432e-10,1.0000000001,0.001,0.09626318660857787
4,-0.0,8.0,0.5899932954519156,2.917244157337401,0.1535405136014504,6.759671173841058
5,-0.0,8.0,2.4655014035993146,1.2866700661521253,0.017229066095475597,49.83835703459179
6,10.50540204587676,29.01080409175352,0.0020195801159042046,26781.925013115928,72026540749075.2,66138936054672.3
7,5.667233230428201,19.334466460856405,1e-10,1.9569091061835915,130067736013046.75,135134082903492.31
8,19.64969363467402,47.29938726934804,1.0000000000000011e-10,919887323.739393,221924727575371.16,136920002823198.62
9,21.867775402514326,51.73555080502865,0.011599266397574838,3.3285533518589685e+33,354498096051408.2,17182290432317.506
10,15.278259043313568,38.556518086627136,1.3551021827093002,1.0000000001,274424913324103.25,60777260838091.164
11,11.492684044200997,30.985368088401994,9.13575138563736e+147,1.000000000100053,1.1727700781647377,1.5217480729738375
12,-0.0,8.0,0.18102474151916118,2.676364140140249,0.25264269708174564,10.629001434399303
13,12.689816939653905,33.37963387930781,2.3137312046098796e+16,1.46965782159045,0.39593298378480624,5.124556903402143
14,7.001672679254638,22.00334535850928,1.0000462320499152e-10,5.12480939800901,116505915563004.89,81174279890792.62
15,19.32629853227452,46.65259706454904,1175796747351334.2,9.783332598324318e+18,3.119144434133699,1323836683005913.5
16,3.6235010976764572,15.247002195352914,57063202338890.86,42592067798543.5,27.25272787353378,1072164646237659.5
17,-0.0,8.0,0.5899932954519156,2.917244157337401,0.1535405136014504,6.759671173841058
18,4.857052567740581,17.714105135481162,573686792617328.9,325584707900017.7,3.118381137302437,1767718504968581.0
19,2.2493405784752647,12.498681156950529,411.84464832866456,1.000000000102001,1.6902780847096774,36.86522678040332
20,16.691662771461587,41.383325542923174,2.8951586254475224e+16,3860338053575894.0,0.9416691109134209,5296591030035143.0
21,17.463165937724817,42.926331875449634,1.200916282595984e+16,7.274017623711817e+17,0.001,1811792737467685.2
22,9.177688868900603,26.355377737801206,1e-10,13.818762541272566,113649875408504.75,144471648865077.4
23,2.249340578475244,12.498681156950488,2.7583976960674876,1364.1970832853856,4.559047670093516,954.0991375988095
24,21.766187966411707,51.53237593282341,646.4071343260943,8.719950128636614e+16,4900613838454.792,31559095961385.1
25,11.876161183912789,31.752322367825577,1.0174761168605783e+44,1.0000000001000051,1.5259490538581009,2.8189297897555425
26,8.40289929104956,24.80579858209912,36.02286987248009,1.0000000001000027,1.1712111770702331,3.1239776957812655
27,7.7731582074237195,23.54631641484744,1.9267769278937235,1.0000000001010947,74185450393086.56,90963170067930.44
28,-0.0,8.0,0.4245322705185067,3.309211190021792,0.06880281623867042,14.452347350722695
29,18.47181770727367,44.94363541454734,14.37800697959708,1.0000000001000018,1.1774954242758362,1.400670741035463
30,6.518551148009561,21.03710229601912,0.07327905931378556,56.95577470247632,38719816274797.6,156171503115789.28
31,3.0141612900515193,14.028322580103039,178.92559941165067,1.6492329254479334,1.2109842365577803,50.76834152500618
32,9.200846611559795,26.40169322311959,6208074356171025.0,11.524441134370523,0.25423119606103045,3.3511206632270953
33,15.439183370589808,38.87836674117962,5.423150812018423,1.0000000001000016,0.9644034703618177,0.8966660962557375
34,2.2493405784762572,12.498681156952514,43.17278598789239,1.0000000001,1.1183891914092456,32.18062010306382
35,5.341654982917696,18.68330996583539,7.800332018275831e+227,1.0000000001000329,3.571131910637162,8.315157252593583
36,16.810843497208836,41.62168699441767,1.0776689271609826e+16,1.7442231673162093e+96,0.001,7091470515528874.0
37,20.37342470131661,48.74684940263322,2.3362774630489456e+23,502226914828006.7,0.48847847083928675,407723180112335.5
38,11.696239854162524,31.392479708325048,107234359180330.47,4.449597008150165e+35,125.37803152874878,1694670461905756.2
39,-0.0,8.0,2.5919328560514683,1.2725687595049422,0.018056009856158,54.21167146667723
40,14.02710801779546,36.05421603559092,34.46487501832753,14210056671626.254,2453363129213.7256,96275908978838.23
41,-0.0,8.0,2.326865094532827,1.4504375672588623,0.008977859623627411,84.07189815064224
42,19.492546863258113,46.985093726516226,2221.3714103622206,1.0000037332968434,146613253161750.34,270751112279889.28
43,12.271457628578567,32.542915257157134,4719419641406079.0,2.616944055706086,0.0010000000000000002,4.830679207509269
44,13.438504474319913,34.877008948639826,52776817218941.266,58173789265319.47,22.14949747469188,408079995260410.7
45,19.133016674640547,46.266033349281095,1654019748744517.0,1.6683948294453968e+56,1.3790482662177972,723542822265792.1
46,2.2493405784752483,12.498681156950497,850.5573916746631,1.0000001294674181,2.813379766859075,108.86041356065668
47,3.391827718187413,14.783655436374826,9.30671416639557e+40,5434704442099701.0,0.09866655549701196,1366982466388832.2
48,15.04197871542096,38.08395743084192,3.130334534140268,1.0000000001000047,0.001,0.9649775510712276
49,-0.0,8.0,0.4245322705185067,3.309211190021792,0.06880281623867042,14.452347350722695
50,3.014161290057344,14.028322580114688,17717.76009216504,1166.228707631796,0.43509526029909423,41664.496509456956
51,21.782725738129812,51.565451476259625,3.2254529943540072e+19,1182233895800069.5,0.4115177824539353,56977518569174.195
52,11.579718743591958,31.159437487183915,0.004523759899896778,254.4475081084423,172026702987285.03,134168708656138.25
