06 May 2016 2:55:45 PM,Fri, 06 May 2016 2:59:50 PM
klab1,5036,2
3,Lighter,Darker,Smaller,Bigger
2,5036,generalization,69,76,0.8,153.125,Beta,0.242944818921
2,5036,generalization,70,27,-0.4,75.0,Alpha,0.426102433354
2,5036,generalization,71,32,-0.2,137.5,Alpha,0.205671756528
2,5036,generalization,72,11,-0.6,184.375,Beta,0.091592380777
2,5036,generalization,73,64,0.6,200.0,Beta,0.1188894324
2,5036,generalization,74,62,0.4,90.625,Alpha,2.09862356074
2,5036,generalization,75,47,0.2,184.375,Beta,0.409553438425
2,5036,generalization,76,51,0.2,121.875,Alpha,0.42070572637
2,5036,generalization,77,45,0.0,75.0,Beta,0.720341289416
2,5036,generalization,78,63,0.4,75.0,Beta,0.000248962081969
2,5036,generalization,79,4,-0.8,153.125,Alpha,1.70825109072
2,5036,generalization,80,56,0.4,184.375,Beta,0.816579850391
2,5036,generalization,81,65,0.6,184.375,Beta,0.158367725089
